_cpi_id,nome,sigla,nomePublicacao,tipoOrgao,total_eventos,data_primeiro_evento,data_ultimo_evento,duracao_dias,excedeu_prazo_regimental,status_cpi
183,COMISSÃO PARLAMENTAR DE INQUÉRITO,CPI,CPI,Comissão Parlamentar de Inquérito,0,,,,,DESCONHECIDO
100734,CPI - DESAPARECIMENTO DE CRIANÇAS E ADOLESCENTES,CPI,CPI do Desaparecimento de Crianças e Adolescentes,Comissão Parlamentar de Inquérito,0,,,,,DESCONHECIDO
101234,
